<head><title>Dallas vs. Philadelphia</title></head><link rel="stylesheet" href="https://ezaco.github.io/SimFBACommentary/css/gamestyles.css">																																	
<div class="welcome"> Welcome everybody to AT&T Stadium here in Dallas, Texas.<br />																																	
It's great matchup today between the <strong> Dallas Cowboys </strong> and the <strong> Philadelphia Eagles </strong>.<br />																																	
We're getting under way here now, let's take it down to the field!<br />																																	
Click here to <a href="javascript:history.back()">go back</a> at any time.</div>																																	
<div class="team-logos"><img class="home-logo" src="https://ezaco.github.io/SimFBACommentary/images/Dallas.png"> <img class="away-logo" src="https://ezaco.github.io/SimFBACommentary/images/Philadelphia.png"></div>																																	
<table style="margin:auto;width:90%;margin-bottom:75px"><thead>																																	
<tr>	<th>	Quarter	</th>	<th>	Time Remaining	</th>	<th>	Possession	</th>	<th>	Down	</th>	<th>	Distance	</th>	<th>	Line Of Scrimmage	</th>	<th>	Type of Play	</th>	<th>	Result	</th>	<th>	DAL Score	</th>	<th>	PHI Score	</th>	</tr>	</thead>	<tbody>
<tr>	<td>	1	</td>	<td>	15:00	</td>	<td>	DAL	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	35 DAL	</td>	<td>	Kickoff	</td>	<td>	K Michael Cox kicks for 65 yards. Fielded at the goalline by RB Lucas Mihalik Touchback.	</td>	<td>	0	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	15:00	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	25 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to TE Matthew Lee for 32 yards. Tackled by CB Amara Rodriguez.	</td>	<td>	0	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	14:40	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	43 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool incomplete. Intended for WR Gilberto Silva.	</td>	<td>	0	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	14:22	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	10	</td>	<td>	43 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool incomplete. Thrown Away.	</td>	<td>	0	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	14:00	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	10	</td>	<td>	43 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool intercepted by CB Thomas Calame returned to 0 yards from the LOS. intended for WR Pedro Ekeler.	</td>	<td>	0	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	13:52	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	43 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Intended for WR Antonio Arellano.	</td>	<td>	0	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	13:34	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	10	</td>	<td>	43 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Christopher Lee for 53 yards. Tackled by CB Andrew Kangas.	</td>	<td>	0	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	13:16	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	4	</td>	<td>	4 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 3 yards. Tackled by ILB Alvin Eckes.	</td>	<td>	0	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	12:38	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	1	</td>	<td>	1 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Antonio Arellano for 1 yard. <span class="touchdown">TOUCHDOWN</span>!	</td>	<td>	0	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	12:15	</td>	<td>	DAL	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	3 PHI	</td>	<td>	Extra Point	</td>	<td>	K Michael Cox's extra point attempt is good.	</td>	<td>	6	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	12:15	</td>	<td>	DAL	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	35 DAL	</td>	<td>	Kickoff	</td>	<td>	K Michael Cox kicks for 68 yards. Fielded 3 yards. deep in the endzone by RB Michael Vance Touchback.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	12:15	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	25 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Enrique Nunes for 6 yards. Tackled by CB Thomas Calame.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	11:37	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	4	</td>	<td>	31 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for -1 yard. Ran out of bounds.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	11:9	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	5	</td>	<td>	30 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 4 yards. Tackled by DE Michael Dyson.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	10:28	</td>	<td>	PHI	</td>	<td>	4	</td>	<td>	1	</td>	<td>	34 PHI	</td>	<td>	Punt	</td>	<td>	P Howard Martin punts for 32 yards. RB Timothy Miller returns the ball 11 yards. Tackled by CB Franklin Kirchner.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	10:17	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	45 DAL	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 0 yards. Tackled by OLB Mark Soto and SS Ryan Reininger.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	9:40	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	10	</td>	<td>	45 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Thrown Away.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	9:21	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	10	</td>	<td>	45 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to TE Henry Green for 17 yards. Tackled by CB Barry Taylor.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	9:1	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	38 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to TE Henry Green for 8 yards. Tackled by CB Andrew Kangas.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	8:22	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	2	</td>	<td>	30 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel scrambles for 6 yards. Tackled by ILB Jose Ortega.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
<tr>	<td>	1	</td>	<td>	8:1	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	24 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Intended for WR Christopher Lee.	</td>	<td>	7	</td>	<td>	0	</td>	</tr>		
